2017-11-03 12:04:38.184 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.TimeoutsDispatcher MessagePump' is now in the armed state
2017-11-03 12:04:38.184 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.Timeouts MessagePump' is now in the armed state
2017-11-03 12:04:38.185 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning MessagePump' is now in the armed state
2017-11-03 12:04:38.184 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning-uniqueId MessagePump' is now in the armed state
2017-11-03 12:04:49.651 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.TimeoutsDispatcher MessagePump' is now disarmed
2017-11-03 12:04:49.720 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning-uniqueId MessagePump' is now disarmed
2017-11-03 12:04:49.720 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.Timeouts MessagePump' is now disarmed
2017-11-03 12:04:49.651 INFO  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning MessagePump' is now disarmed
2017-11-03 12:05:06.977 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning MessagePump' is now in the armed state
2017-11-03 12:05:06.978 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.Timeouts MessagePump' is now in the armed state
2017-11-03 12:05:06.977 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning.TimeoutsDispatcher MessagePump' is now in the armed state
2017-11-03 12:05:07.127 WARN  NServiceBus.Transport.RabbitMQ.MessagePumpConnectionFailedCircuitBreaker The circuit breaker for 'Saga.Planning-uniqueId MessagePump' is now in the armed state
